Identificador do Aluno,Nome do Aluno,Idade,Gênero,Ano Escolar,Você pratica xadrez regularmente?,Há quanto tempo você joga xadrez?,Qual foi sua média geral nas últimas três avaliações escolares?,Qual foi sua nota na última prova de Matemática?,Qual foi sua nota na última prova de Língua Portuguesa?
0301,Zeca Fernandes,9,Masculino,4º Ano,Sim,mais de 1 ano,5.88,8.47,9.19
0302,Carla Nogueira,11,Feminino,6º Ano,Não,Nunca,9.65,7.24,7.61
0303,Natália Nogueira,6,Feminino,1º Ano,Sim,Nunca,7.9,8.93,5.12
0304,João Lima,9,Masculino,4º Ano,Sim,Nunca,9.86,7.0,9.48
0305,Rafael Vieira,12,Masculino,7º Ano,Não,Nunca,7.95,7.09,5.34
0306,Ana Júnior,18,Feminino,8º Ano,Não,Nunca,7.75,8.85,6.86
0307,Elisa Gomes,13,Feminino,8º Ano,Não,Nunca,7.51,6.95,6.18
0308,Natália Pereira,10,Feminino,5º Ano,Não,Nunca,6.37,9.0,9.92
0309,Fernando Henrique,17,Masculino,7º Ano,Sim,mais de 1 ano,5.34,7.84,9.45
0310,Vivian Vieira,17,Feminino,7º Ano,Não,Nunca,7.94,8.21,5.89
0311,Bruno Ibarra,14,Masculino,9º Ano,Não,Nunca,5.01,5.28,8.04
0312,Fernando Zanetti,6,Masculino,1º Ano,Não,Nunca,5.08,6.67,9.07
0313,Vivian Lima,12,Feminino,7º Ano,Não,Nunca,5.51,6.1,9.44
0314,Rafael Fernandes,8,Masculino,3º Ano,Não,Nunca,5.51,7.8,8.34
0315,Otávio Vieira,12,Masculino,7º Ano,Não,Nunca,7.45,9.3,6.51
0316,Gabriela Dias,14,Feminino,9º Ano,Não,Nunca,6.48,9.32,8.24
0317,João Lima,9,Masculino,4º Ano,Não,Nunca,5.23,9.01,6.07
0318,Carla Barbosa,11,Feminino,6º Ano,Não,Nunca,5.89,9.78,9.5
0319,Patrícia Vieira,12,Feminino,7º Ano,Não,Nunca,7.76,6.86,8.66
0320,Rafael Gomes,17,Masculino,7º Ano,Sim,Nunca,6.16,7.42,6.0
0321,Bruno Gomes,9,Masculino,4º Ano,Não,Nunca,6.46,8.81,6.34
0322,Rafael Júnior,13,Masculino,8º Ano,Sim,Nunca,6.49,8.08,9.02
0323,Henrique Almeida,13,Masculino,8º Ano,Não,Nunca,9.88,9.47,8.33
0324,Patrícia Martins,16,Feminino,6º Ano,Não,Nunca,5.07,8.1,5.7
0325,Zeca Júnior,9,Masculino,4º Ano,Não,Nunca,8.31,7.91,5.45
0326,Otávio Barbosa,18,Masculino,8º Ano,Não,Nunca,7.3,9.31,8.92
0327,Sofia Almeida,17,Feminino,7º Ano,Não,Nunca,5.45,5.79,8.87
0328,Carla Teixeira,17,Feminino,7º Ano,Sim,Nunca,8.0,8.54,8.19
0329,Otávio Gomes,10,Masculino,5º Ano,Sim,mais de 1 ano,8.43,7.01,8.81
0330,Patrícia Costa,15,Feminino,10º Ano,Sim,mais de 1 ano,9.45,7.25,8.73
0331,Otávio Zanetti,8,Masculino,3º Ano,Não,Nunca,8.71,8.76,5.84
0332,Tiago Pereira,16,Masculino,6º Ano,Não,Nunca,8.5,7.4,7.84
0333,João Ibarra,14,Masculino,9º Ano,Não,Nunca,9.2,8.64,6.9
0334,Natália Vieira,16,Feminino,6º Ano,Sim,mais de 1 ano,5.71,8.2,6.4
0335,Marcos Nogueira,13,Masculino,8º Ano,Não,Nunca,7.03,7.46,5.23
0336,Rafael Lima,11,Masculino,6º Ano,Não,Nunca,7.25,9.3,6.98
0337,Ana Ramos,11,Feminino,6º Ano,Não,Nunca,8.09,7.15,6.34
0338,Rafael Gomes,6,Masculino,1º Ano,Não,Nunca,5.16,7.32,5.33
0339,Bruno Pereira,11,Masculino,6º Ano,Não,Nunca,5.79,7.46,8.22
0340,Elisa Costa,12,Feminino,7º Ano,Não,Nunca,6.42,8.26,7.4
0341,Fernando Barbosa,16,Masculino,6º Ano,Não,Nunca,5.08,7.14,6.57
0342,Vivian Queiroz,13,Feminino,8º Ano,Não,Nunca,7.81,6.21,6.92
0343,Laura Barbosa,9,Feminino,4º Ano,Não,Nunca,7.94,5.6,6.65
0344,Zeca Costa,18,Masculino,8º Ano,Não,Nunca,7.74,9.34,6.47
0345,Ana Gomes,6,Feminino,1º Ano,Sim,mais de 1 ano,7.11,8.2,6.38
0346,Carla Henrique,16,Feminino,6º Ano,Não,Nunca,8.59,8.52,5.17
0347,Patrícia Almeida,8,Feminino,3º Ano,Não,Nunca,8.3,6.08,9.0
0348,Rafael Lima,15,Masculino,10º Ano,Não,Nunca,6.42,6.89,6.59
0349,Diego Barbosa,18,Masculino,8º Ano,Não,Nunca,7.8,8.38,6.01
0350,Gabriela Júnior,6,Feminino,1º Ano,Não,Nunca,9.51,6.49,6.32
0351,Gabriela Costa,15,Feminino,10º Ano,Não,Nunca,8.56,8.08,8.92
0352,Patrícia Martins,17,Feminino,7º Ano,Não,Nunca,5.72,6.02,5.54
0353,Natália Ramos,13,Feminino,8º Ano,Não,Nunca,9.04,5.37,9.54
0354,João Zanetti,8,Masculino,3º Ano,Não,Nunca,8.19,5.94,6.21
0355,Rafael Martins,16,Masculino,6º Ano,Não,Nunca,5.73,8.77,6.12
0356,Vivian Dias,18,Feminino,8º Ano,Sim,mais de 1 ano,8.08,9.71,6.28
0357,Diego Barbosa,10,Masculino,5º Ano,Sim,mais de 1 ano,8.23,9.52,7.08
0358,Ana Queiroz,16,Feminino,6º Ano,Não,Nunca,9.34,9.24,7.88
0359,Isabela Dias,18,Feminino,8º Ano,Não,Nunca,7.74,7.37,7.33
0360,Gabriela Dias,17,Feminino,7º Ano,Sim,mais de 1 ano,6.0,9.8,6.5
0361,Carla Ibarra,11,Feminino,6º Ano,Não,Nunca,6.19,5.18,9.64
0362,Otávio Vieira,7,Masculino,2º Ano,Não,Nunca,7.78,7.76,7.14
0363,Carla Lima,16,Feminino,6º Ano,Não,Nunca,8.93,7.58,8.1
0364,Tiago Ramos,6,Masculino,1º Ano,Não,Nunca,9.14,6.44,9.88
0365,Otávio Vieira,17,Masculino,7º Ano,Não,Nunca,8.55,9.59,7.29
0366,Natália Oliveira,18,Feminino,8º Ano,Não,Nunca,9.86,6.77,6.18
0367,Marcos Nogueira,8,Masculino,3º Ano,Não,Nunca,7.42,9.39,9.34
0368,Sofia Zanetti,11,Feminino,6º Ano,Não,Nunca,9.75,5.34,9.17
0369,Gabriela Pereira,13,Feminino,8º Ano,Não,Nunca,7.99,6.78,8.63
0370,Henrique Nogueira,7,Masculino,2º Ano,Não,Nunca,8.35,8.64,5.45
0371,Elisa Martins,6,Feminino,1º Ano,Sim,mais de 1 ano,7.99,8.86,9.56
0372,Laura Ibarra,14,Feminino,9º Ano,Sim,mais de 1 ano,5.75,6.05,5.12
0373,Diego Dias,11,Masculino,6º Ano,Não,Nunca,5.17,8.29,9.95
0374,Marcos Ibarra,6,Masculino,1º Ano,Não,Nunca,9.21,9.86,9.85
0375,Diego Fernandes,10,Masculino,5º Ano,Não,Nunca,8.4,7.49,8.75
0376,Gabriela Barbosa,18,Feminino,8º Ano,Não,Nunca,9.9,7.48,9.62
0377,Henrique Nogueira,9,Masculino,4º Ano,Não,Nunca,9.16,8.78,6.53
0378,Otávio Nogueira,17,Masculino,7º Ano,Sim,mais de 1 ano,8.24,5.58,6.89
0379,Marcos Teixeira,11,Masculino,6º Ano,Não,Nunca,6.32,9.5,7.45
0380,Gabriela Fernandes,18,Feminino,8º Ano,Não,Nunca,8.46,7.7,5.74
0381,Bruno Dias,9,Masculino,4º Ano,Sim,Nunca,9.01,8.98,9.23
0382,Gabriela Fernandes,12,Feminino,7º Ano,Não,Nunca,8.44,8.26,9.47
0383,Otávio Almeida,13,Masculino,8º Ano,Não,Nunca,6.77,7.0,6.13
0384,Diego Zanetti,12,Masculino,7º Ano,Não,Nunca,5.23,7.79,9.15
0385,Zeca Ibarra,10,Masculino,5º Ano,Não,Nunca,5.43,6.07,7.52
0386,Vivian Pereira,14,Feminino,9º Ano,Não,Nunca,7.82,8.28,6.08
0387,Marcos Costa,9,Masculino,4º Ano,Não,Nunca,6.6,8.14,8.25
0388,Sofia Almeida,14,Feminino,9º Ano,Não,Nunca,5.67,6.09,8.44
0389,Ana Nogueira,17,Feminino,7º Ano,Sim,mais de 1 ano,6.72,9.75,5.56
0390,Ana Dias,15,Feminino,10º Ano,Não,Nunca,7.21,8.96,5.7
0391,Henrique Dias,9,Masculino,4º Ano,Não,Nunca,5.49,8.23,6.0
0392,Patrícia Júnior,11,Feminino,6º Ano,Não,Nunca,7.26,8.16,5.73
0393,Sofia Nogueira,6,Feminino,1º Ano,Não,Nunca,7.37,5.22,7.62
0394,Bruno Fernandes,10,Masculino,5º Ano,Não,Nunca,5.35,7.04,6.04
0395,Ana Queiroz,14,Feminino,9º Ano,Não,Nunca,7.66,7.24,5.12
0396,Laura Silva,14,Feminino,9º Ano,Não,Nunca,5.09,9.54,7.87
0397,Otávio Fernandes,18,Masculino,8º Ano,Não,Nunca,6.61,7.1,5.99
0398,Marcos Silva,10,Masculino,5º Ano,Não,Nunca,6.0,7.3,5.05
0399,Vivian Nogueira,9,Feminino,4º Ano,Não,Nunca,6.34,5.83,7.38
0400,Vivian Nogueira,11,Feminino,6º Ano,Não,Nunca,6.08,9.52,9.65
0401,Otávio Dias,7,Masculino,2º Ano,Não,Nunca,6.91,7.41,8.41
0402,Sofia Júnior,13,Feminino,8º Ano,Sim,mais de 1 ano,8.42,6.88,6.64
0403,Marcos Ramos,7,Masculino,2º Ano,Não,Nunca,9.58,7.47,7.53
0404,Gabriela Silva,7,Feminino,2º Ano,Não,Nunca,6.45,9.8,9.23
0405,Gabriela Costa,8,Feminino,3º Ano,Não,Nunca,7.43,5.58,7.48
0406,Gabriela Queiroz,9,Feminino,4º Ano,Não,Nunca,9.17,8.63,5.39
0407,Fernando Gomes,16,Masculino,6º Ano,Não,Nunca,5.32,8.54,7.92
0408,Laura Barbosa,12,Feminino,7º Ano,Não,Nunca,7.08,7.04,7.32
0409,Elisa Pereira,17,Feminino,7º Ano,Não,Nunca,6.41,7.7,5.98
0410,Zeca Pereira,7,Masculino,2º Ano,Sim,Nunca,9.75,5.65,6.22
0411,Isabela Oliveira,14,Feminino,9º Ano,Não,Nunca,7.08,9.85,6.08
0412,Sofia Gomes,9,Feminino,4º Ano,Sim,Nunca,7.73,9.42,9.45
0413,Marcos Ramos,10,Masculino,5º Ano,Não,Nunca,6.22,9.23,7.89
0414,Fernando Barbosa,9,Masculino,4º Ano,Não,Nunca,6.75,8.44,9.77
0415,Zeca Júnior,7,Masculino,2º Ano,Não,Nunca,8.39,9.53,6.41
0416,Diego Barbosa,17,Masculino,7º Ano,Sim,mais de 1 ano,9.38,6.93,5.79
0417,Patrícia Júnior,11,Feminino,6º Ano,Não,Nunca,5.05,5.6,9.56
0418,Vivian Oliveira,8,Feminino,3º Ano,Não,Nunca,9.12,6.58,9.81
0419,Laura Oliveira,8,Feminino,3º Ano,Sim,Nunca,8.35,8.19,6.57
0420,Laura Costa,16,Feminino,6º Ano,Não,Nunca,8.47,5.95,9.31
0421,Zeca Zanetti,18,Masculino,8º Ano,Não,Nunca,7.6,5.85,9.34
0422,Gabriela Lima,18,Feminino,8º Ano,Não,Nunca,5.21,6.53,7.72
0423,João Júnior,16,Masculino,6º Ano,Não,Nunca,8.51,5.88,7.65
0424,Sofia Henrique,12,Feminino,7º Ano,Não,Nunca,5.45,9.69,8.15
0425,Elisa Gomes,12,Feminino,7º Ano,Não,Nunca,7.9,6.55,8.52
0426,Patrícia Ramos,8,Feminino,3º Ano,Não,Nunca,6.85,5.35,6.64
0427,João Teixeira,14,Masculino,9º Ano,Não,Nunca,7.69,6.1,9.76
0428,Otávio Fernandes,15,Masculino,10º Ano,Não,Nunca,6.75,9.68,9.38
0429,Rafael Queiroz,18,Masculino,8º Ano,Sim,Nunca,7.8,6.8,8.72
0430,Tiago Martins,15,Masculino,10º Ano,Sim,mais de 1 ano,5.22,7.28,5.61
0431,Carla Ibarra,8,Feminino,3º Ano,Não,Nunca,7.94,8.7,8.35
0432,João Barbosa,13,Masculino,8º Ano,Sim,mais de 1 ano,6.6,9.14,7.07
0433,Fernando Pereira,6,Masculino,1º Ano,Não,Nunca,9.32,9.29,7.56
0434,Carla Costa,12,Feminino,7º Ano,Não,Nunca,6.56,6.61,9.06
0435,Natália Vieira,13,Feminino,8º Ano,Não,Nunca,7.44,5.43,8.89
0436,Vivian Nogueira,12,Feminino,7º Ano,Não,Nunca,8.97,9.63,9.18
0437,Natália Ramos,8,Feminino,3º Ano,Sim,mais de 1 ano,7.5,5.98,9.31
0438,Marcos Henrique,17,Masculino,7º Ano,Sim,mais de 1 ano,5.41,8.35,9.54
0439,Isabela Martins,12,Feminino,7º Ano,Não,Nunca,9.99,6.01,6.86
0440,Elisa Lima,11,Feminino,6º Ano,Sim,mais de 1 ano,5.44,9.65,5.07
0441,Elisa Lima,10,Feminino,5º Ano,Não,Nunca,8.83,7.63,6.22
0442,Carla Queiroz,14,Feminino,9º Ano,Sim,mais de 1 ano,6.4,7.99,9.89
0443,Fernando Nogueira,8,Masculino,3º Ano,Não,Nunca,6.46,8.6,9.52
0444,Henrique Ramos,14,Masculino,9º Ano,Não,Nunca,6.93,7.21,7.53
0445,Patrícia Vieira,16,Feminino,6º Ano,Não,Nunca,5.9,5.7,5.58
0446,Diego Dias,11,Masculino,6º Ano,Não,Nunca,9.52,9.31,9.98
0447,Fernando Fernandes,18,Masculino,8º Ano,Não,Nunca,6.15,6.52,6.72
0448,Patrícia Barbosa,18,Feminino,8º Ano,Não,Nunca,5.28,5.18,5.91
0449,Isabela Barbosa,7,Feminino,2º Ano,Não,Nunca,7.51,8.29,8.04
0450,Patrícia Zanetti,11,Feminino,6º Ano,Não,Nunca,6.55,8.23,8.51
0451,Rafael Almeida,15,Masculino,10º Ano,Sim,Nunca,9.04,9.21,9.08
0452,Ana Gomes,9,Feminino,4º Ano,Não,Nunca,5.64,7.61,6.11
0453,Gabriela Lima,12,Feminino,7º Ano,Sim,mais de 1 ano,5.08,7.6,6.79
0454,Laura Silva,17,Feminino,7º Ano,Não,Nunca,9.09,6.71,6.64
0455,Diego Queiroz,17,Masculino,7º Ano,Não,Nunca,7.12,9.58,5.09
0456,Elisa Queiroz,15,Feminino,10º Ano,Não,Nunca,5.47,8.63,7.08
0457,Gabriela Queiroz,12,Feminino,7º Ano,Não,Nunca,7.44,9.59,7.55
0458,Elisa Pereira,18,Feminino,8º Ano,Não,Nunca,7.93,5.87,7.84
0459,Ana Henrique,10,Feminino,5º Ano,Não,Nunca,5.78,7.83,9.24
0460,João Lima,6,Masculino,1º Ano,Não,Nunca,6.56,5.24,8.76
0461,Tiago Vieira,17,Masculino,7º Ano,Não,Nunca,7.79,9.73,8.07
0462,Ana Fernandes,11,Feminino,6º Ano,Não,Nunca,7.22,7.6,6.9
0463,Vivian Henrique,17,Feminino,7º Ano,Não,Nunca,7.82,8.04,8.62
0464,Isabela Fernandes,10,Feminino,5º Ano,Sim,mais de 1 ano,5.62,7.33,9.67
0465,Fernando Lima,15,Masculino,10º Ano,Não,Nunca,9.26,5.53,6.8
0466,Laura Dias,11,Feminino,6º Ano,Não,Nunca,7.43,7.1,5.12
0467,Rafael Ramos,7,Masculino,2º Ano,Não,Nunca,9.42,6.64,5.69
0468,Carla Zanetti,11,Feminino,6º Ano,Não,Nunca,8.47,8.03,6.92
0469,Tiago Martins,6,Masculino,1º Ano,Não,Nunca,5.01,8.49,9.27
0470,Sofia Pereira,10,Feminino,5º Ano,Não,Nunca,5.02,8.15,8.64
0471,Henrique Gomes,6,Masculino,1º Ano,Não,Nunca,8.69,5.74,9.35
0472,Fernando Zanetti,14,Masculino,9º Ano,Não,Nunca,5.71,9.33,8.87
0473,Carla Zanetti,14,Feminino,9º Ano,Não,Nunca,9.23,7.89,9.75
0474,Elisa Ibarra,15,Feminino,10º Ano,Não,Nunca,7.81,8.75,5.33
0475,Fernando Dias,18,Masculino,8º Ano,Não,Nunca,5.14,7.36,5.1
0476,João Lima,17,Masculino,7º Ano,Não,Nunca,7.33,7.05,5.19
0477,João Martins,15,Masculino,10º Ano,Não,Nunca,9.02,8.94,8.2
0478,Otávio Costa,14,Masculino,9º Ano,Não,Nunca,6.12,9.8,6.58
0479,Natália Dias,11,Feminino,6º Ano,Não,Nunca,6.77,7.37,7.44
0480,Bruno Zanetti,17,Masculino,7º Ano,Não,Nunca,5.2,7.85,9.92
0481,João Nogueira,7,Masculino,2º Ano,Não,Nunca,5.33,7.3,7.46
0482,Laura Ibarra,6,Feminino,1º Ano,Não,Nunca,6.68,7.8,7.31
0483,Carla Fernandes,14,Feminino,9º Ano,Não,Nunca,6.38,7.46,5.54
0484,Gabriela Pereira,14,Feminino,9º Ano,Sim,mais de 1 ano,9.58,6.32,9.61
0485,Carla Henrique,7,Feminino,2º Ano,Não,Nunca,7.2,9.59,6.27
0486,Carla Lima,7,Feminino,2º Ano,Não,Nunca,7.25,5.63,7.05
0487,Sofia Lima,10,Feminino,5º Ano,Não,Nunca,9.75,5.3,5.21
0488,Diego Costa,11,Masculino,6º Ano,Não,Nunca,5.96,8.59,8.86
0489,Isabela Lima,13,Feminino,8º Ano,Não,Nunca,9.98,5.01,7.11
0490,João Pereira,16,Masculino,6º Ano,Sim,Nunca,8.34,6.88,9.03
0491,Henrique Henrique,6,Masculino,1º Ano,Não,Nunca,5.25,5.13,8.94
0492,Carla Lima,12,Feminino,7º Ano,Não,Nunca,5.81,8.15,9.78
0493,Rafael Dias,12,Masculino,7º Ano,Não,Nunca,7.83,8.47,5.76
0494,Ana Pereira,12,Feminino,7º Ano,Não,Nunca,9.93,9.19,7.72
0495,Isabela Nogueira,7,Feminino,2º Ano,Não,Nunca,9.9,9.85,8.27
0496,Isabela Vieira,17,Feminino,7º Ano,Não,Nunca,5.62,6.08,5.67
0497,Diego Gomes,7,Masculino,2º Ano,Não,Nunca,8.17,6.52,7.12
0498,Henrique Lima,15,Masculino,10º Ano,Não,Nunca,8.47,7.55,7.6
0499,Otávio Júnior,18,Masculino,8º Ano,Não,Nunca,5.19,6.73,8.7
0500,Fernando Lima,6,Masculino,1º Ano,Sim,mais de 1 ano,9.89,5.12,5.77
0501,Marcos Zanetti,11,Masculino,6º Ano,Não,Nunca,9.91,7.84,6.67
0502,Isabela Nogueira,17,Feminino,7º Ano,Não,Nunca,5.78,8.53,8.93
0503,Tiago Queiroz,7,Masculino,2º Ano,Não,Nunca,9.68,5.59,6.95
0504,Sofia Vieira,17,Feminino,7º Ano,Sim,Nunca,8.28,5.2,6.24
0505,Natália Queiroz,15,Feminino,10º Ano,Não,Nunca,8.05,6.86,5.5
0506,Carla Gomes,10,Feminino,5º Ano,Não,Nunca,6.91,5.6,7.17
0507,Tiago Ramos,13,Masculino,8º Ano,Não,Nunca,7.01,9.83,5.74
0508,Vivian Júnior,14,Feminino,9º Ano,Não,Nunca,5.46,9.82,5.14
0509,Marcos Barbosa,17,Masculino,7º Ano,Não,Nunca,8.01,6.83,8.59
0510,Otávio Pereira,6,Masculino,1º Ano,Não,Nunca,9.44,8.87,6.14
0511,Diego Nogueira,7,Masculino,2º Ano,Não,Nunca,6.35,7.07,7.85
0512,Bruno Barbosa,8,Masculino,3º Ano,Não,Nunca,9.41,6.82,9.48
0513,Bruno Almeida,14,Masculino,9º Ano,Não,Nunca,9.52,7.69,5.67
0514,Rafael Lima,10,Masculino,5º Ano,Não,Nunca,7.76,6.7,9.58
0515,Elisa Silva,13,Feminino,8º Ano,Não,Nunca,9.65,5.23,6.55
0516,Ana Júnior,16,Feminino,6º Ano,Não,Nunca,8.11,8.92,9.5
0517,Elisa Queiroz,18,Feminino,8º Ano,Não,Nunca,6.04,7.75,5.5
0518,Sofia Barbosa,6,Feminino,1º Ano,Não,Nunca,6.93,9.88,8.24
0519,Ana Martins,15,Feminino,10º Ano,Não,Nunca,6.81,5.71,5.66
0520,Fernando Lima,18,Masculino,8º Ano,Não,Nunca,8.29,7.5,5.1
0521,Vivian Ramos,6,Feminino,1º Ano,Sim,mais de 1 ano,5.7,7.63,5.7
0522,Carla Teixeira,18,Feminino,8º Ano,Não,Nunca,9.28,9.32,7.43
0523,Elisa Zanetti,11,Feminino,6º Ano,Não,Nunca,7.12,7.38,9.13
0524,Carla Dias,12,Feminino,7º Ano,Não,Nunca,5.68,7.65,9.45
0525,Gabriela Almeida,14,Feminino,9º Ano,Sim,mais de 1 ano,7.69,6.15,7.04
0526,Laura Ramos,8,Feminino,3º Ano,Não,Nunca,8.12,5.08,8.51
0527,Diego Vieira,16,Masculino,6º Ano,Sim,mais de 1 ano,5.34,8.83,6.76
0528,Natália Silva,15,Feminino,10º Ano,Não,Nunca,6.48,9.02,7.84
0529,Zeca Teixeira,6,Masculino,1º Ano,Não,Nunca,5.89,9.03,5.08
0530,Elisa Nogueira,6,Feminino,1º Ano,Não,Nunca,5.02,8.72,8.06
0531,Gabriela Gomes,6,Feminino,1º Ano,Não,Nunca,7.0,8.41,6.09
0532,Isabela Almeida,12,Feminino,7º Ano,Não,Nunca,8.31,6.07,8.19
0533,Henrique Silva,16,Masculino,6º Ano,Sim,mais de 1 ano,7.05,8.84,7.38
0534,Marcos Dias,9,Masculino,4º Ano,Não,Nunca,9.22,9.31,7.88
0535,Zeca Ramos,10,Masculino,5º Ano,Não,Nunca,7.43,9.62,6.89
0536,Gabriela Henrique,10,Feminino,5º Ano,Sim,mais de 1 ano,6.62,6.79,9.29
0537,Henrique Queiroz,10,Masculino,5º Ano,Não,Nunca,9.17,9.47,5.8
0538,Otávio Costa,6,Masculino,1º Ano,Não,Nunca,7.24,8.08,6.64
0539,Rafael Martins,10,Masculino,5º Ano,Não,Nunca,6.33,8.29,8.77
0540,Fernando Oliveira,6,Masculino,1º Ano,Não,Nunca,5.66,7.77,8.93
0541,Natália Pereira,12,Feminino,7º Ano,Não,Nunca,8.1,6.77,5.63
0542,Isabela Gomes,8,Feminino,3º Ano,Não,Nunca,9.91,6.67,5.67
0543,Rafael Henrique,11,Masculino,6º Ano,Não,Nunca,6.0,5.99,7.65
0544,Gabriela Fernandes,7,Feminino,2º Ano,Não,Nunca,6.6,6.97,7.11
0545,Carla Nogueira,11,Feminino,6º Ano,Não,Nunca,8.42,6.26,8.81
0546,Otávio Costa,7,Masculino,2º Ano,Sim,Nunca,7.89,7.67,8.25
0547,Laura Almeida,13,Feminino,8º Ano,Não,Nunca,8.87,6.35,7.0
0548,Diego Dias,18,Masculino,8º Ano,Não,Nunca,9.06,9.29,6.6
0549,Zeca Nogueira,12,Masculino,7º Ano,Sim,Nunca,6.82,9.68,6.28
0550,Ana Fernandes,8,Feminino,3º Ano,Não,Nunca,5.31,9.95,5.81
0551,Sofia Martins,12,Feminino,7º Ano,Não,Nunca,8.84,9.03,5.04
0552,Zeca Nogueira,13,Masculino,8º Ano,Não,Nunca,5.4,7.44,9.21
0553,Sofia Lima,15,Feminino,10º Ano,Não,Nunca,7.15,8.0,7.66
0554,Zeca Henrique,17,Masculino,7º Ano,Não,Nunca,6.01,7.45,8.06
0555,Fernando Zanetti,7,Masculino,2º Ano,Não,Nunca,8.37,5.09,8.0
0556,Isabela Fernandes,8,Feminino,3º Ano,Sim,mais de 1 ano,7.23,6.3,6.74
0557,Diego Lima,9,Masculino,4º Ano,Não,Nunca,6.35,8.22,7.51
0558,Rafael Lima,13,Masculino,8º Ano,Não,Nunca,9.99,7.34,9.58
0559,Rafael Lima,18,Masculino,8º Ano,Não,Nunca,6.69,6.84,7.69
0560,Henrique Ramos,16,Masculino,6º Ano,Não,Nunca,5.02,7.69,5.79
0561,Carla Costa,18,Feminino,8º Ano,Não,Nunca,5.91,5.13,8.2
0562,Carla Zanetti,9,Feminino,4º Ano,Não,Nunca,6.24,9.43,5.59
0563,Carla Costa,12,Feminino,7º Ano,Não,Nunca,6.52,9.46,7.97
0564,Diego Vieira,13,Masculino,8º Ano,Não,Nunca,7.57,9.65,9.48
0565,Sofia Fernandes,14,Feminino,9º Ano,Não,Nunca,9.12,9.86,6.86
0566,Natália Teixeira,9,Feminino,4º Ano,Sim,Nunca,8.55,6.57,8.97
0567,Gabriela Pereira,17,Feminino,7º Ano,Não,Nunca,9.61,6.55,5.42
0568,Natália Lima,14,Feminino,9º Ano,Não,Nunca,9.11,8.01,9.77
0569,Vivian Gomes,18,Feminino,8º Ano,Não,Nunca,6.16,9.15,6.89
0570,João Lima,17,Masculino,7º Ano,Não,Nunca,5.63,6.18,5.1
0571,Carla Queiroz,6,Feminino,1º Ano,Não,Nunca,6.09,8.51,7.35
0572,João Martins,16,Masculino,6º Ano,Não,Nunca,8.78,8.85,7.66
0573,Elisa Lima,11,Feminino,6º Ano,Não,Nunca,6.6,9.62,5.03
0574,Fernando Zanetti,18,Masculino,8º Ano,Sim,mais de 1 ano,5.68,9.76,9.62
0575,Carla Fernandes,12,Feminino,7º Ano,Sim,mais de 1 ano,5.08,9.39,6.66
0576,Isabela Costa,7,Feminino,2º Ano,Não,Nunca,5.11,9.5,7.97
0577,Carla Henrique,17,Feminino,7º Ano,Não,Nunca,6.28,5.71,8.77
0578,Otávio Gomes,16,Masculino,6º Ano,Não,Nunca,8.05,8.9,8.11
0579,Marcos Barbosa,13,Masculino,8º Ano,Não,Nunca,5.77,5.51,9.61
0580,Diego Teixeira,14,Masculino,9º Ano,Não,Nunca,6.35,6.54,9.76
0581,Natália Ibarra,14,Feminino,9º Ano,Não,Nunca,8.75,8.22,8.15
0582,Tiago Queiroz,10,Masculino,5º Ano,Não,Nunca,7.38,5.13,7.97
0583,Isabela Silva,6,Feminino,1º Ano,Não,Nunca,8.83,6.27,5.87
0584,Diego Gomes,10,Masculino,5º Ano,Sim,Nunca,7.1,8.17,9.42
0585,Ana Oliveira,6,Feminino,1º Ano,Não,Nunca,7.84,5.47,9.32
0586,Diego Oliveira,10,Masculino,5º Ano,Não,Nunca,7.33,8.35,8.1
0587,Rafael Gomes,15,Masculino,10º Ano,Sim,mais de 1 ano,6.94,9.25,7.73
0588,Sofia Pereira,9,Feminino,4º Ano,Não,Nunca,9.99,6.07,7.1
0589,Diego Oliveira,18,Masculino,8º Ano,Não,Nunca,5.29,8.1,8.91
0590,João Zanetti,7,Masculino,2º Ano,Não,Nunca,5.15,9.27,5.58
0591,Fernando Dias,7,Masculino,2º Ano,Não,Nunca,8.16,7.72,8.91
0592,Patrícia Costa,17,Feminino,7º Ano,Não,Nunca,6.48,9.54,5.11
0593,João Gomes,7,Masculino,2º Ano,Não,Nunca,7.89,5.39,9.18
0594,Marcos Pereira,6,Masculino,1º Ano,Não,Nunca,5.88,6.85,6.39
0595,Sofia Fernandes,13,Feminino,8º Ano,Sim,Nunca,6.43,6.96,5.96
0596,Elisa Martins,9,Feminino,4º Ano,Não,Nunca,6.76,6.1,6.83
0597,Fernando Dias,12,Masculino,7º Ano,Sim,mais de 1 ano,8.98,5.04,7.89
0598,Fernando Costa,16,Masculino,6º Ano,Não,Nunca,8.19,6.55,6.46
0599,Isabela Costa,13,Feminino,8º Ano,Não,Nunca,6.35,8.54,6.38
0600,Natália Costa,11,Feminino,6º Ano,Não,Nunca,7.31,5.7,9.09
0601,Gabriela Silva,12,Feminino,7º Ano,Sim,mais de 1 ano,9.9,7.55,5.64
0602,Gabriela Júnior,17,Feminino,7º Ano,Não,Nunca,5.34,6.82,7.55
0603,Rafael Lima,10,Masculino,5º Ano,Não,Nunca,6.2,6.97,9.96
0604,Otávio Dias,18,Masculino,8º Ano,Sim,mais de 1 ano,5.15,8.94,7.15
0605,Elisa Vieira,8,Feminino,3º Ano,Não,Nunca,5.66,5.09,5.72
